date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:37:49	50702/50702	---M-Z	200	added ('OK')	text/html	etag:W/%22c60e-wX6YP85dLTMLAR2SwQnKXy5zoJM-gzip%22	https://www.amu.ac.in/miscellaneous/alumni	/storage/emulated/0/HTTrack/Websites/ammia/www.amu.ac.in/miscellaneous/alumni.html	(from )
14:37:51	2896/2896	---M-Z	200	added ('OK')	text/html	etag:W/%221df7-yxzu3c48LlrRv+9ZCvbWFNACpQ0-gzip%22	https://www.amu.ac.in/robots.txt		(from )
14:38:05	239/239	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2026%20Nov%202022%2008:56:49%20GMT	http://www.amu.ac.in/styles.css	/storage/emulated/0/HTTrack/Websites/ammia/www.amu.ac.in/styles.2.delayed	(from https://www.amu.ac.in/miscellaneous/alumni)
14:38:09	259/259	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2026%20Nov%202022%2008:56:55%20GMT	http://www.amu.ac.in/assets/images/final-logo-2.png	/storage/emulated/0/HTTrack/Websites/ammia/www.amu.ac.in/assets/images/final-logo-2.3.delayed	(from https://www.amu.ac.in/miscellaneous/alumni)
14:38:18	264/264	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2026%20Nov%202022%2008:57:04%20GMT	http://www.amu.ac.in/miscellaneous/dean-students-welfare	/storage/emulated/0/HTTrack/Websites/ammia/www.amu.ac.in/miscellaneous/dean-students-welfare.5.delayed	(from https://www.amu.ac.in/miscellaneous/alumni)
14:38:21	270/270	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2026%20Nov%202022%2008:57:07%20GMT	http://www.amu.ac.in/miscellaneous/moinuddin-ahmad-art-gallery	/storage/emulated/0/HTTrack/Websites/ammia/www.amu.ac.in/miscellaneous/moinuddin-ahmad-art-gallery	(from https://www.amu.ac.in/miscellaneous/alumni)
14:38:24	292/292	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2026%20Nov%202022%2008:57:10%20GMT	http://www.amu.ac.in/miscellaneous/board-of-secondary-and-senior-secondary-education	/storage/emulated/0/HTTrack/Websites/ammia/www.amu.ac.in/miscellaneous/board-of-secondary-and-senior-secondary-education	(from https://www.amu.ac.in/miscellaneous/alumni)
14:38:28	263/263	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2026%20Nov%202022%2008:57:13%20GMT	http://www.amu.ac.in/miscellaneous/publication-division	/storage/emulated/0/HTTrack/Websites/ammia/www.amu.ac.in/miscellaneous/publication-division	(from https://www.amu.ac.in/miscellaneous/alumni)
14:38:32	287/287	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2026%20Nov%202022%2008:57:17%20GMT	http://www.amu.ac.in/miscellaneous/bridge-course-for-graduates-of-deeni-madaris	/storage/emulated/0/HTTrack/Websites/ammia/www.amu.ac.in/miscellaneous/bridge-course-for-graduates-of-deeni-madaris	(from https://www.amu.ac.in/miscellaneous/alumni)
14:38:36	272/272	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2026%20Nov%202022%2008:57:21%20GMT	http://www.amu.ac.in/miscellaneous/research-and-development-cell	/storage/emulated/0/HTTrack/Websites/ammia/www.amu.ac.in/miscellaneous/research-and-development-cell	(from https://www.amu.ac.in/miscellaneous/alumni)
